开始时间,结束时间,高度差,体积变化量(L),稳定时间(s),付出ID,付出量(L),付出量Vt(L),修正体积变化(L),修正付出量(L),体积变化权值,稳定时间权值,综合权值
2020-07-12 14:08:12,2020-07-12 14:23:12,12.6,184.7,0,96254/96360,182.24,0,182.24,0,1,0.5,1.5
2020-07-12 13:58:02,2020-07-12 14:08:12,29.9,438.2,0,96244,437.31,0,437.055,0,1,0.5,1.5
2020-07-12 13:45:04,2020-07-12 13:57:52,13,194.4,10,96240/96238,191.46,0,191.717,0,1,0.5,1.5
2020-07-12 13:34:12,2020-07-12 13:45:04,10.4,156,0,96235/96233,157.74,0,157.744,0,1,0.5,1.5
2020-07-12 13:19:32,2020-07-12 13:34:12,12.6,188.6,0,96229/96227/96223/96220,184.71,0,184.441,0,1,0.5,1.5
2020-07-12 12:54:42,2020-07-12 13:19:32,16.3,247.2,0,96217/96213/96210,248.72,0,248.999,0,1,0.5,1.5
2020-07-12 12:11:42,2020-07-12 12:54:42,11.9,180.5,0,96208/96203/96200/96194,174.84,0,175.225,0,1,0.5,1.5
2020-07-12 11:43:02,2020-07-12 12:11:42,32,491.6,0,96190/96186/96185/96180,492.3,0,491.89,0,1,0.5,1.5
2020-07-12 11:26:22,2020-07-12 11:43:02,13.8,212.2,0,96177/96172,212.6,0,213.02,0,1,0.5,1.5
2020-07-12 11:00:02,2020-07-12 11:26:22,19.9,309.5,0,96169/96167/96165/96163/96158,305.22,0,305.23,0,1,0.5,1.5
2020-07-12 10:26:42,2020-07-12 11:00:02,31.4,491.9,0,96155/96152/96147/96139,493.25,0,492.798,0,1,0.5,1.5
2020-07-12 10:16:32,2020-07-12 10:26:42,10.9,172.2,0,96137/96134,169.25,0,168.9,0,1,0.5,1.5
2020-07-12 10:02:42,2020-07-12 10:16:32,16.6,261,0,96131/96128/96126,262.14,0,262.133,0,1,0.5,1.5
2020-07-12 09:40:02,2020-07-12 10:02:42,12.1,192.9,0,96122/96117/96115,193.94,0,193.934,0,1,0.5,1.5
2020-07-12 09:23:32,2020-07-12 09:40:02,12,191.6,0,96110/96106/96105,188.63,0,188.629,0,1,0.5,1.5
2020-07-12 09:04:22,2020-07-12 09:23:32,14.2,226.3,0,96100/96096,226.98,0,227.355,0,1,0.5,1.5
2020-07-12 08:44:12,2020-07-12 09:04:22,14.7,236.3,0,96090/96087/96082,233.34,0,232.563,0,1,0.5,1.5
2020-07-12 08:29:12,2020-07-12 08:44:12,16.5,264.6,0,96080/96076,266.53,0,266.53,0,1,0.5,1.5
2020-07-12 08:00:22,2020-07-12 08:29:12,12.7,204.2,0,96073/96071/96063,199.85,0,199.85,0,1,0.5,1.5
2020-07-12 07:23:32,2020-07-12 08:00:22,31.2,505.6,0,96061/96059/96054/96049/96046,503.77,0,502.507,0,1,0.5,1.5
2020-07-12 06:46:22,2020-07-12 07:23:32,11.6,188.5,0,96044/96041/96040/96037/96034/96027,191.31,0,191.313,0,1,0.5,1.5
2020-07-12 02:17:52,2020-07-12 06:46:22,10.9,176.5,0,96025/96024/96022/96021/96020/96019,173.42,0,176.487,0,1,0.5,1.5
2020-07-11 22:26:42,2020-07-12 02:17:52,17.5,285.4,0,96016/96014/96009/96008/96005/96000,281.14,0,286.294,0,1,0.5,1.5
2020-07-11 21:44:02,2020-07-11 22:26:42,11.9,194.1,0,95999/95998/95995/95992/95989,196.98,0,197.435,0,1,0.5,1.5
2020-07-11 21:18:42,2020-07-11 21:44:02,12.1,198,0,95987/95984/95982/95981/95980/95977,195.55,0,195.55,0,1,0.5,1.5
2020-07-11 21:01:52,2020-07-11 21:18:42,13.4,220.1,0,95973/95971/95967,221.16,0,221.16,0,1,0.5,1.5
2020-07-11 20:35:12,2020-07-11 21:01:52,12.4,203.2,0,95965/95959/95956,199.79,0,200.746,0,1,0.5,1.5
2020-07-11 20:16:52,2020-07-11 20:35:12,12.8,209.5,0,95954/95952/95950/95949,210.16,0,209.199,0,1,0.5,1.5
2020-07-11 20:02:02,2020-07-11 20:16:52,12.6,208.4,0,95946/95942/95940,208.96,0,209.453,0,1,0.5,1.5
2020-07-11 19:36:02,2020-07-11 20:02:02,13.6,222.3,0,95938/95935/95934/95932/95929/95926,221.31,0,222.636,0,1,0.5,1.5
2020-07-11 19:19:42,2020-07-11 19:36:02,12.3,201.8,0,95923/95920,205.03,0,206.213,0,1,0.5,1.5
2020-07-11 18:51:02,2020-07-11 19:19:42,22.8,375.9,0,95918/95916/95913/95911/95905,376.59,0,376.251,0,1,0.5,1.5
2020-07-11 18:27:02,2020-07-11 18:51:02,13.4,221.5,0,95899/95898/95893,221.21,0,221.563,0,1,0.5,1.5
2020-07-11 18:05:02,2020-07-11 18:27:02,11.5,189.5,0,95889/95884/95883/95880,188.39,0,188.748,0,1,0.5,1.5
2020-07-11 17:44:02,2020-07-11 18:05:02,13.8,227.9,0,95877/95872/95869,228.17,0,227.809,0,1,0.5,1.5
2020-07-11 17:17:42,2020-07-11 17:44:02,12.9,212.9,0,95866/95864/95863/95859,211.41,0,212.145,0,1,0.5,1.5
2020-07-11 17:07:42,2020-07-11 17:17:42,10.2,168.2,0,95855/95853,171.07,0,170.329,0,1,0.5,1.5
2020-07-11 16:54:42,2020-07-11 17:07:42,15.1,248.4,0,95850/95846,248.29,0,248.664,0,1,0.5,1.5
2020-07-11 16:40:52,2020-07-11 16:54:42,12.4,204.2,0,95842/95840/95837/95836,206.89,0,206.89,0,1,0.5,1.5
2020-07-11 16:32:02,2020-07-11 16:40:52,12.3,202.3,0,95833/95830,202.19,0,202.19,0,1,0.5,1.5
2020-07-11 16:03:32,2020-07-11 16:32:02,17.1,283.201,0,95828/95824/95822/95815,281.17,0,281.569,0,1,0.5,1.5
2020-07-11 15:32:52,2020-07-11 16:03:32,10.7,176.799,0,95813/95810/95809/95804/95802,179.38,0,179.387,0,1,0.5,1.5
2020-07-11 15:06:42,2020-07-11 15:32:52,14.8,242.201,0,95797/95795/95790,239.5,0,239.502,0,1,0.5,1.5
2020-07-11 14:47:12,2020-07-11 15:06:42,11.8,195.398,0,95786/95785/95778/95776,195.76,0,196.166,0,1,0.5,1.5
2020-07-11 14:21:02,2020-07-11 14:47:12,30.7,504.102,0,95774/95772/95768,505.14,0,505.142,0,1,0.5,1.5
2020-07-11 13:45:02,2020-07-11 14:21:02,15.8,257.799,0,95765/95764/95758,255.38,0,255.384,0,1,0.5,1.5
2020-07-11 13:12:32,2020-07-11 13:45:02,17.3,283,0,95750/95747/95744/95742/95737/95735,283.19,0,283.625,0,1,0.5,1.5
2020-07-11 12:40:02,2020-07-11 13:12:32,18.1,295.4,0,95733/95730/95726/95724/95720,294.13,0,294.13,0,1,0.5,1.5
2020-07-11 12:17:02,2020-07-11 12:40:02,19.3,315.6,0,95718/95713,312.16,0,312.601,0,1,0.5,1.5
2020-07-11 11:57:52,2020-07-11 12:17:02,14.7,237.8,0,95709/95706/95701,238.57,0,238.115,0,1,0.5,1.5
2020-07-11 11:23:42,2020-07-11 11:57:52,15.5,251.6,0,95696/95692/95690/95684,250.75,0,251.661,0,1,0.5,1.5
2020-07-11 11:06:22,2020-07-11 11:23:42,23.8,383.5,0,95678/95674,381.36,0,380.89,0,1,0.5,1.5
2020-07-11 10:54:42,2020-07-11 11:06:22,13.8,222.301,0,95667/95663,221.46,0,221.458,0,1,0.5,1.5
2020-07-11 10:43:32,2020-07-11 10:54:42,12.1,195.299,0,95658/95655,195.62,0,195.618,0,1,0.5,1.5
2020-07-11 10:24:32,2020-07-11 10:43:32,22.2,354.4,0,95648/95640,354.79,0,354.301,0,1,0.5,1.5
2020-07-11 10:11:52,2020-07-11 10:24:32,10.8,173.4,0,95637/95633,172.76,0,173.743,0,1,0.5,1.5
2020-07-11 09:54:32,2020-07-11 10:11:52,19.5,309.799,0,95630/95627,305.59,0,304.596,0,1,0.5,1.5
2020-07-11 09:23:12,2020-07-11 09:54:32,28.2,444.5,0,95623/95619/95614/95608,440.6,0,440.589,0,1,0.5,1.5
2020-07-11 09:08:42,2020-07-11 09:23:12,18.8,295,0,95606/95600,293.86,0,294.378,0,1,0.5,1.5
2020-07-11 08:55:42,2020-07-11 09:08:42,24.1,376.602,0,95597/95594,371.55,0,373.661,0,1,0.5,1.5
2020-07-11 08:39:02,2020-07-11 08:55:42,14.7,228,0,95591/95590/95588/95584,226.64,0,226.378,0,1,0.5,1.5
2020-07-11 08:24:12,2020-07-11 08:39:02,19.4,297.398,0,95583/95580/95578,297.11,0,297.114,0,1,0.5,1.5
2020-07-11 08:12:22,2020-07-11 08:24:12,12,183.901,0,95574/95571/95569,180.29,0,180.297,0,1,0.5,1.5
2020-07-11 07:53:42,2020-07-11 08:12:22,13.6,206.5,0,95567/95561/95557,206,0,204.906,0,1,0.5,1.5
2020-07-11 07:40:22,2020-07-11 07:53:42,18.2,275.599,0,95553/95549,272.75,0,273.857,0,1,0.5,1.5
2020-07-11 07:05:02,2020-07-11 07:40:22,35.7,534.801,0,95546/95545/95542/95537/95533,533.34,0,531.082,0,1,0.5,1.5
2020-07-11 06:44:32,2020-07-11 07:05:02,12.4,183.9,0,95530/95528/95525/95522,178.42,0,178.422,0,1,0.5,1.5
2020-07-11 06:14:42,2020-07-11 06:44:32,13.8,204,0,95521/95516/95514/95508,203.78,0,203.78,0,1,0.5,1.5
2020-07-11 01:23:22,2020-07-11 06:14:42,13.2,191.299,0,95507/95498/95496/95491,181.42,0,190.427,0,1,0.5,1.5
2020-07-10 23:48:22,2020-07-11 01:23:22,15.5,225.102,0,95489/95488/95485/95484,220.88,0,224.398,0,1,0.5,1.5
2020-07-10 22:49:22,2020-07-10 23:48:22,11.3,163.5,0,95483/95478/95476,155.63,0,159.466,0,1,0.5,1.5
